,Open Int,time to maturity (years),moneyness,inv_spread
3157,4915,0.0410958904109589,0.9617077464788732,6.666666666666651
5701,231,0.07945205479452055,0.938573883161512,6.666666666666651
1631,185,0.01643835616438356,0.9895833333333334,5.000000000000018
4753,237,0.07397260273972603,0.95,5.000000000000007
2751,10000,0.03561643835616438,0.9668141592920354,5.000000000000007
3793,505,0.0547945205479452,0.9600175746924429,5.000000000000007
1299,116,0.0136986301369863,0.9860108303249098,5.000000000000007
3499,39,0.049315068493150684,0.9617077464788732,5.000000000000007
2749,6511,0.03561643835616438,0.9685283687943262,5.000000000000007
5697,347,0.07945205479452055,0.9401893287435457,5.000000000000007
2755,487,0.03561643835616438,0.9634038800705468,5.000000000000007
2757,2664,0.03561643835616438,0.9617077464788732,5.000000000000007
2399,210,0.030136986301369864,0.9685283687943262,5.000000000000007
2041,742,0.021917808219178082,0.9737076648841355,5.000000000000007
3161,6259,0.0410958904109589,0.9583333333333334,5.000000000000001
5721,352,0.07945205479452055,0.9305792163543442,5.000000000000001
3163,250,0.0410958904109589,0.9566549912434326,5.000000000000001
3169,438,0.0410958904109589,0.9516550522648084,5.000000000000001
3171,5174,0.0410958904109589,0.95,5.000000000000001
3173,2169,0.0410958904109589,0.9483506944444444,5.000000000000001
3179,148,0.0410958904109589,0.9434369602763385,5.000000000000001
2411,208,0.030136986301369864,0.9583333333333334,5.000000000000001
2401,779,0.030136986301369864,0.9668141592920354,5.000000000000001
3525,11,0.049315068493150684,0.9401893287435457,5.000000000000001
3535,50,0.049315068493150684,0.9321672354948806,5.000000000000001
3539,8,0.049315068493150684,0.9258474576271186,5.000000000000001
3543,10,0.049315068493150684,0.9196127946127947,5.000000000000001
4241,11,0.06027397260273973,0.9149916247906198,5.000000000000001
4235,24,0.06027397260273973,0.9196127946127947,5.000000000000001
4231,62,0.06027397260273973,0.9227195945945946,5.000000000000001
4229,265,0.06027397260273973,0.9242808798646363,5.000000000000001
4223,274,0.06027397260273973,0.9289965986394558,5.000000000000001
4219,63,0.06027397260273973,0.9321672354948806,5.000000000000001
4217,1202,0.06027397260273973,0.9337606837606838,5.000000000000001
4215,2,0.06027397260273973,0.9353595890410958,5.000000000000001
2047,1604,0.021917808219178082,0.9685283687943262,5.000000000000001
4207,4473,0.06027397260273973,0.9418103448275862,5.000000000000001
4209,80,0.06027397260273973,0.9401893287435457,5.000000000000001
3531,39,0.049315068493150684,0.9353595890410958,5.000000000000001
4763,8,0.07397260273972603,0.9104166666666667,5.000000000000001
4211,60,0.06027397260273973,0.938573883161512,5.000000000000001
2419,104,0.030136986301369864,0.9516550522648084,5.000000000000001
2423,167,0.030136986301369864,0.9483506944444444,5.000000000000001
1659,105,0.01643835616438356,0.9651060070671378,5.000000000000001
1307,395,0.0136986301369863,0.9789426523297491,5.000000000000001
1303,1241,0.0136986301369863,0.9824640287769785,5.000000000000001
1305,198,0.0136986301369863,0.9807001795332136,5.000000000000001
2761,9901,0.03561643835616438,0.9583333333333334,5.000000000000001
2767,1195,0.03561643835616438,0.9533158813263525,5.000000000000001
2775,919,0.03561643835616438,0.9467071057192374,5.000000000000001
2417,38,0.030136986301369864,0.9533158813263525,5.000000000000001
3553,65,0.049315068493150684,0.8882113821138211,5.0
2441,408,0.030136986301369864,0.9337606837606838,5.0
6649,84,0.09863013698630137,0.8670634920634921,5.0
4263,102,0.06027397260273973,0.853515625,5.0
4259,165,0.06027397260273973,0.8810483870967742,5.0
4257,52,0.06027397260273973,0.8882113821138211,5.0
2443,1150,0.030136986301369864,0.9321672354948806,5.0
3849,2,0.0547945205479452,0.9028925619834711,5.0
2431,1280,0.030136986301369864,0.9418103448275862,5.0
2439,214,0.030136986301369864,0.9353595890410958,5.0
2437,60,0.030136986301369864,0.9369639794168096,5.0
2435,310,0.030136986301369864,0.938573883161512,5.0
2433,59,0.030136986301369864,0.9401893287435457,5.0
3541,7,0.049315068493150684,0.9227195945945946,5.0
2427,35,0.030136986301369864,0.9450692041522492,5.0
2421,1574,0.030136986301369864,0.95,5.0
2445,110,0.030136986301369864,0.9305792163543442,5.0
2813,974,0.03561643835616438,0.9104166666666667,5.0
2447,350,0.030136986301369864,0.9289965986394558,5.0
3227,68,0.0410958904109589,0.9058872305140961,5.0
2829,123,0.03561643835616438,0.8925653594771242,5.0
7343,1,0.136986301369863,0.8670634920634921,5.0
7349,2,0.136986301369863,0.8276515151515151,5.0
4523,4,0.0684931506849315,0.9028925619834711,5.0
4527,4,0.0684931506849315,0.8882113821138211,5.0
3205,63,0.0410958904109589,0.9227195945945946,5.0
3211,405,0.0410958904109589,0.9180672268907563,5.0
3219,126,0.0410958904109589,0.9119365609348915,5.0
3229,23,0.0410958904109589,0.9043874172185431,5.0
2449,16,0.030136986301369864,0.9274193548387096,5.0
3231,92,0.0410958904109589,0.9028925619834711,5.0
3239,3,0.0410958904109589,0.8969622331691297,5.0
3241,118,0.0410958904109589,0.8954918032786885,5.0
3251,22,0.0410958904109589,0.8882113821138211,5.0
2071,18998,0.021917808219178082,0.9483506944444444,5.0
4529,8,0.0684931506849315,0.8810483870967742,5.0
2455,100,0.030136986301369864,0.9196127946127947,5.0
2821,2261,0.03561643835616438,0.9028925619834711,5.0
2451,17,0.030136986301369864,0.9258474576271186,5.0
2429,105,0.030136986301369864,0.9434369602763385,5.0
4767,107,0.07397260273972603,0.8810483870967742,5.0
8699,10,0.17534246575342466,0.8276515151515151,5.0
1323,464,0.0136986301369863,0.9651060070671378,5.0
1327,117,0.0136986301369863,0.9617077464788732,5.0
1675,3073,0.01643835616438356,0.9516550522648084,5.0
1657,3029,0.01643835616438356,0.9668141592920354,5.0
1333,545,0.0136986301369863,0.9566549912434326,5.0
1343,1437,0.0136986301369863,0.9483506944444444,5.0
4227,1244,0.06027397260273973,0.9258474576271186,4.999999999999998
2055,2199,0.021917808219178082,0.9617077464788732,4.999999999999998
2769,1788,0.03561643835616438,0.9516550522648084,4.999999999999998
2777,14245,0.03561643835616438,0.9450692041522492,4.999999999999998
1655,161,0.01643835616438356,0.9685283687943262,4.999999999999998
1651,100,0.01643835616438356,0.9719750889679716,4.999999999999998
4233,191,0.06027397260273973,0.9211635750421585,4.999999999999998
2413,21,0.030136986301369864,0.9566549912434326,4.999999999999998
4253,334,0.06027397260273973,0.9028925619834711,4.999999999999998
4225,31,0.06027397260273973,0.9274193548387096,4.999999999999998
3175,370,0.0410958904109589,0.9467071057192374,4.999999999999998
783,1283,0.0027397260273972603,0.9860108303249098,4.999999999999998
3177,2853,0.0410958904109589,0.9450692041522492,4.999999999999998
2425,1041,0.030136986301369864,0.9467071057192374,4.999999999999998
3533,181,0.049315068493150684,0.9337606837606838,4.999999999999998
3537,21,0.049315068493150684,0.9289965986394558,4.999999999999998
4521,7,0.0684931506849315,0.9104166666666667,4.999999999999998
6635,14,0.09863013698630137,0.9043874172185431,4.999999999999998
1301,5595,0.0136986301369863,0.9842342342342343,4.999999999999996
3791,19,0.0547945205479452,0.9617077464788732,4.999999999999996
3789,84,0.0547945205479452,0.9634038800705468,4.999999999999996
3787,16,0.0547945205479452,0.9651060070671378,4.999999999999996
3785,140,0.0547945205479452,0.9668141592920354,4.999999999999996
3783,65,0.0547945205479452,0.9685283687943262,4.999999999999996
