,Open Int,time to maturity (years),moneyness
11515,248,0.8465753424657534,1.1380208333333333
9297,252,0.25205479452054796,1.1380208333333333
1151,8,0.0136986301369863,1.1380208333333333
11151,42,0.6164383561643836,1.1380208333333333
2581,189,0.03561643835616438,1.1380208333333333
6791,1158,0.11506849315068493,1.1380208333333333
10295,11,0.36712328767123287,1.1380208333333333
6405,1,0.09863013698630137,1.1380208333333333
7121,3,0.136986301369863,1.1380208333333333
1879,2,0.021917808219178082,1.1380208333333333
5937,5,0.08767123287671233,1.133298755186722
6795,20,0.11506849315068493,1.133298755186722
8787,14,0.20273972602739726,1.133298755186722
2585,16,0.03561643835616438,1.133298755186722
495,1,0.0027397260273972603,1.133298755186722
6797,3,0.11506849315068493,1.130952380952381
2589,1,0.03561643835616438,1.1286157024793388
6799,10,0.11506849315068493,1.1286157024793388
8789,20,0.20273972602739726,1.1286157024793388
10073,21,0.3287671232876712,1.1262886597938144
9733,22,0.2876712328767123,1.1262886597938144
9309,4,0.25205479452054796,1.1262886597938144
6415,1,0.09863013698630137,1.1262886597938144
11153,40,0.6164383561643836,1.1262886597938144
11519,233,0.8465753424657534,1.1262886597938144
6801,445,0.11506849315068493,1.1262886597938144
4017,100,0.06027397260273973,1.1262886597938144
11723,119,0.873972602739726,1.1262886597938144
8791,7,0.20273972602739726,1.1262886597938144
5313,1,0.07945205479452055,1.1262886597938144
10301,1627,0.36712328767123287,1.1262886597938144
2591,72,0.03561643835616438,1.1262886597938144
507,48,0.0027397260273972603,1.1262886597938144
6803,19,0.11506849315068493,1.1239711934156378
2593,1,0.03561643835616438,1.1239711934156378
10075,76,0.3287671232876712,1.1239711934156378
511,25,0.0027397260273972603,1.1239711934156378
8793,12,0.20273972602739726,1.1239711934156378
7129,30,0.136986301369863,1.1239711934156378
5317,1,0.07945205479452055,1.1239711934156378
6419,1,0.09863013698630137,1.1216632443531827
6805,16,0.11506849315068493,1.1216632443531827
7131,1,0.136986301369863,1.1193647540983607
2597,1,0.03561643835616438,1.1193647540983607
519,4,0.0027397260273972603,1.1193647540983607
6807,1,0.11506849315068493,1.1193647540983607
6421,11,0.09863013698630137,1.1193647540983607
3639,1,0.0547945205479452,1.1193647540983607
6809,4,0.11506849315068493,1.1170756646216768
6423,1,0.09863013698630137,1.1170756646216768
8147,35,0.17534246575342466,1.1170756646216768
11725,18,0.873972602739726,1.114795918367347
10079,49,0.3287671232876712,1.114795918367347
11523,234,0.8465753424657534,1.114795918367347
9321,2,0.25205479452054796,1.114795918367347
10307,303,0.36712328767123287,1.114795918367347
8151,2,0.17534246575342466,1.114795918367347
10601,50,0.4547945205479452,1.114795918367347
6425,12,0.09863013698630137,1.114795918367347
5333,38,0.07945205479452055,1.114795918367347
6811,833,0.11506849315068493,1.114795918367347
9735,19,0.2876712328767123,1.114795918367347
7133,530,0.136986301369863,1.114795918367347
3001,4,0.0410958904109589,1.114795918367347
8797,15,0.20273972602739726,1.114795918367347
10949,6,0.5972602739726027,1.114795918367347
11155,35,0.6164383561643836,1.114795918367347
2601,78,0.03561643835616438,1.114795918367347
527,59,0.0027397260273972603,1.114795918367347
6813,12,0.11506849315068493,1.1125254582484725
6427,3,0.09863013698630137,1.1125254582484725
531,15,0.0027397260273972603,1.1125254582484725
5337,1,0.07945205479452055,1.1125254582484725
1903,3,0.021917808219178082,1.1102642276422765
8159,3,0.17534246575342466,1.1102642276422765
3643,2,0.0547945205479452,1.1102642276422765
4031,2,0.06027397260273973,1.1102642276422765
6429,1,0.09863013698630137,1.1102642276422765
2605,1,0.03561643835616438,1.1102642276422765
6815,18,0.11506849315068493,1.1102642276422765
5341,40,0.07945205479452055,1.1102642276422765
535,76,0.0027397260273972603,1.1102642276422765
4033,137,0.06027397260273973,1.1080121703853956
6817,7,0.11506849315068493,1.1080121703853956
5345,1,0.07945205479452055,1.1080121703853956
3007,1,0.0410958904109589,1.1080121703853956
539,76,0.0027397260273972603,1.1080121703853956
2261,2,0.030136986301369864,1.1057692307692308
3009,10,0.0410958904109589,1.1057692307692308
6819,71,0.11506849315068493,1.1057692307692308
5349,40,0.07945205479452055,1.1057692307692308
1515,1,0.01643835616438356,1.1057692307692308
2609,58,0.03561643835616438,1.1057692307692308
8801,15,0.20273972602739726,1.1057692307692308
4035,483,0.06027397260273973,1.1057692307692308
7137,1,0.136986301369863,1.1057692307692308
1907,2,0.021917808219178082,1.1057692307692308
6433,42,0.09863013698630137,1.1057692307692308
543,3,0.0027397260273972603,1.1057692307692308
4609,1,0.07397260273972603,1.1057692307692308
9333,4,0.25205479452054796,1.1035353535353536
2611,344,0.03561643835616438,1.1035353535353536
11727,24,0.873972602739726,1.1035353535353536
10313,950,0.36712328767123287,1.1035353535353536
11527,154,0.8465753424657534,1.1035353535353536
8803,1,0.20273972602739726,1.1035353535353536
8171,2,0.17534246575342466,1.1035353535353536
1181,33,0.0136986301369863,1.1035353535353536
3011,1,0.0410958904109589,1.1035353535353536
2263,35,0.030136986301369864,1.1035353535353536
547,47,0.0027397260273972603,1.1035353535353536
1517,1,0.01643835616438356,1.1035353535353536
5353,16,0.07945205479452055,1.1035353535353536
3647,1,0.0547945205479452,1.1035353535353536
6435,1,0.09863013698630137,1.1035353535353536
6821,723,0.11506849315068493,1.1035353535353536
4037,5,0.06027397260273973,1.1035353535353536
11157,54,0.6164383561643836,1.1035353535353536
10083,59,0.3287671232876712,1.1035353535353536
10953,35,0.5972602739726027,1.1035353535353536
1909,1,0.021917808219178082,1.1035353535353536
3013,30,0.0410958904109589,1.1013104838709677
8805,3,0.20273972602739726,1.1013104838709677
6823,41,0.11506849315068493,1.1013104838709677
2613,1,0.03561643835616438,1.1013104838709677
2265,2,0.030136986301369864,1.1013104838709677
4039,241,0.06027397260273973,1.1013104838709677
3649,2,0.0547945205479452,1.1013104838709677
5357,2,0.07945205479452055,1.1013104838709677
1911,1,0.021917808219178082,1.1013104838709677
551,32,0.0027397260273972603,1.1013104838709677
4333,1,0.0684931506849315,1.1013104838709677
555,179,0.0027397260273972603,1.0990945674044266
