SPX (S&P 500 INDEX),2731.25,+32.62,
Feb 15 2018 @ 16:16 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 1880.00 (SPXW1816B1880-E),0.0,0.0,842.40,854.50,0,0,18 Feb 1880.00 (SPXW1816N1880-E),7.00,0.0,0.0,0.05,0,219,
18 Feb 1890.00 (SPX1816B1890),0.0,0.0,837.10,848.50,0,0,18 Feb 1890.00 (SPX1816N1890),1.20,0.0,0.0,0.10,0,2657,
18 Feb 1890.00 (SPXW1816B1890),846.30,0.0,832.60,844.50,0,1,18 Feb 1890.00 (SPXW1816N1890),0.45,0.0,0.0,0.05,0,643,
18 Feb 1890.00 (SPX1816B1890-E),0.0,0.0,837.10,848.50,0,0,18 Feb 1890.00 (SPX1816N1890-E),1.20,0.0,0.0,0.10,0,2657,
18 Feb 1890.00 (SPXW1816B1890-E),846.30,0.0,832.60,844.50,0,1,18 Feb 1890.00 (SPXW1816N1890-E),0.45,0.0,0.0,0.05,0,643,
18 Feb 1900.00 (SPX1816B1900),814.09,+94.39,827.10,838.50,6,124,18 Feb 1900.00 (SPX1816N1900),0.05,0.0,0.0,0.05,0,9772,
18 Feb 1900.00 (SPXW1816B1900),0.0,0.0,822.60,834.50,0,0,18 Feb 1900.00 (SPXW1816N1900),0.05,0.0,0.0,0.05,0,1081,
18 Feb 1900.00 (SPX1816B1900-E),814.09,+94.39,827.10,838.50,6,124,18 Feb 1900.00 (SPX1816N1900-E),0.05,0.0,0.0,0.05,0,9772,
18 Feb 1900.00 (SPXW1816B1900-E),0.0,0.0,822.60,834.50,0,0,18 Feb 1900.00 (SPXW1816N1900-E),0.05,0.0,0.0,0.05,0,1081,
18 Feb 1910.00 (SPX1816B1910),0.0,0.0,817.10,828.50,0,0,18 Feb 1910.00 (SPX1816N1910),0.85,0.0,0.0,0.10,0,2625,
18 Feb 1910.00 (SPXW1816B1910),0.0,0.0,812.60,824.50,0,0,18 Feb 1910.00 (SPXW1816N1910),0.10,0.0,0.0,0.05,0,418,
18 Feb 1910.00 (SPX1816B1910-E),0.0,0.0,817.10,828.50,0,0,18 Feb 1910.00 (SPX1816N1910-E),0.85,0.0,0.0,0.10,0,2625,
18 Feb 1910.00 (SPXW1816B1910-E),0.0,0.0,812.60,824.50,0,0,18 Feb 1910.00 (SPXW1816N1910-E),0.10,0.0,0.0,0.05,0,418,
18 Feb 1920.00 (SPX1816B1920),0.0,0.0,807.10,818.50,0,0,18 Feb 1920.00 (SPX1816N1920),0.80,0.0,0.0,0.10,0,2439,
18 Feb 1920.00 (SPXW1816B1920),0.0,0.0,802.40,814.50,0,0,18 Feb 1920.00 (SPXW1816N1920),0.50,0.0,0.0,0.05,0,58,
18 Feb 1920.00 (SPX1816B1920-E),0.0,0.0,807.10,818.50,0,0,18 Feb 1920.00 (SPX1816N1920-E),0.80,0.0,0.0,0.10,0,2439,
18 Feb 1920.00 (SPXW1816B1920-E),0.0,0.0,802.40,814.50,0,0,18 Feb 1920.00 (SPXW1816N1920-E),0.50,0.0,0.0,0.05,0,58,
18 Feb 1925.00 (SPX1816B1925),845.80,0.0,802.10,813.50,0,2,18 Feb 1925.00 (SPX1816N1925),0.05,0.0,0.0,0.10,0,2384,
18 Feb 1925.00 (SPXW1816B1925),0.0,0.0,797.40,809.50,0,0,18 Feb 1925.00 (SPXW1816N1925),0.10,0.0,0.0,0.05,0,455,
18 Feb 1925.00 (SPX1816B1925-E),845.80,0.0,802.10,813.50,0,2,18 Feb 1925.00 (SPX1816N1925-E),0.05,0.0,0.0,0.10,0,2384,
18 Feb 1925.00 (SPXW1816B1925-E),0.0,0.0,797.40,809.50,0,0,18 Feb 1925.00 (SPXW1816N1925-E),0.10,0.0,0.0,0.05,0,455,
18 Feb 1930.00 (SPX1816B1930),899.00,0.0,797.10,808.50,0,1,18 Feb 1930.00 (SPX1816N1930),1.90,0.0,0.0,0.10,0,2238,
